x y z
0.000288115 0.000288115 0
0.000288115 0.00149817 0
0.000288115 0.00359527 0
0.000288115 0.00644816 0
0.000288115 0.00987763 0
0.000288115 0.0136682 0
0.000288115 0.0175818 0
0.000288115 0.0213724 0
0.000288115 0.0248018 0
0.000288115 0.0276547 0
0.000288115 0.0297518 0
0.000288115 0.0309619 0
0.00149817 0.000288115 0
0.00149817 0.00149817 0
0.00149817 0.00359527 0
0.00149817 0.00644816 0
0.00149817 0.00987763 0
0.00149817 0.0136682 0
0.00149817 0.0175818 0
0.00149817 0.0213724 0
0.00149817 0.0248018 0
0.00149817 0.0276547 0
0.00149817 0.0297518 0
0.00149817 0.0309619 0
0.00359527 0.000288115 0
0.00359527 0.00149817 0
0.00359527 0.00359527 0
0.00359527 0.00644816 0
0.00359527 0.00987763 0
0.00359527 0.0136682 0
0.00359527 0.0175818 0
0.00359527 0.0213724 0
0.00359527 0.0248018 0
0.00359527 0.0276547 0
0.00359527 0.0297518 0
0.00359527 0.0309619 0
0.00644816 0.000288115 0
0.00644816 0.00149817 0
0.00644816 0.00359527 0
0.00644816 0.00644816 0
0.00644816 0.00987763 0
0.00644816 0.0136682 0
0.00644816 0.0175818 0
0.00644816 0.0213724 0
0.00644816 0.0248018 0
0.00644816 0.0276547 0
0.00644816 0.0297518 0
0.00644816 0.0309619 0
0.00987763 0.000288115 0
0.00987763 0.00149817 0
0.00987763 0.00359527 0
0.00987763 0.00644816 0
0.00987763 0.00987763 0
0.00987763 0.0136682 0
0.00987763 0.0175818 0
0.00987763 0.0213724 0
0.00987763 0.0248018 0
0.00987763 0.0276547 0
0.00987763 0.0297518 0
0.00987763 0.0309619 0
0.0136682 0.000288115 0
0.0136682 0.00149817 0
0.0136682 0.00359527 0
0.0136682 0.00644816 0
0.0136682 0.00987763 0
0.0136682 0.0136682 0
0.0136682 0.0175818 0
0.0136682 0.0213724 0
0.0136682 0.0248018 0
0.0136682 0.0276547 0
0.0136682 0.0297518 0
0.0136682 0.0309619 0
0.0175818 0.000288115 0
0.0175818 0.00149817 0
0.0175818 0.00359527 0
0.0175818 0.00644816 0
0.0175818 0.00987763 0
0.0175818 0.0136682 0
0.0175818 0.0175818 0
0.0175818 0.0213724 0
0.0175818 0.0248018 0
0.0175818 0.0276547 0
0.0175818 0.0297518 0
0.0175818 0.0309619 0
0.0213724 0.000288115 0
0.0213724 0.00149817 0
0.0213724 0.00359527 0
0.0213724 0.00644816 0
0.0213724 0.00987763 0
0.0213724 0.0136682 0
0.0213724 0.0175818 0
0.0213724 0.0213724 0
0.0213724 0.0248018 0
0.0213724 0.0276547 0
0.0213724 0.0297518 0
0.0213724 0.0309619 0
0.0248018 0.000288115 0
0.0248018 0.00149817 0
0.0248018 0.00359527 0
0.0248018 0.00644816 0
0.0248018 0.00987763 0
0.0248018 0.0136682 0
0.0248018 0.0175818 0
0.0248018 0.0213724 0
0.0248018 0.0248018 0
0.0248018 0.0276547 0
0.0248018 0.0297518 0
0.0248018 0.0309619 0
0.0276547 0.000288115 0
0.0276547 0.00149817 0
0.0276547 0.00359527 0
0.0276547 0.00644816 0
0.0276547 0.00987763 0
0.0276547 0.0136682 0
0.0276547 0.0175818 0
0.0276547 0.0213724 0
0.0276547 0.0248018 0
0.0276547 0.0276547 0
0.0276547 0.0297518 0
0.0276547 0.0309619 0
0.0297518 0.000288115 0
0.0297518 0.00149817 0
0.0297518 0.00359527 0
0.0297518 0.00644816 0
0.0297518 0.00987763 0
0.0297518 0.0136682 0
0.0297518 0.0175818 0
0.0297518 0.0213724 0
0.0297518 0.0248018 0
0.0297518 0.0276547 0
0.0297518 0.0297518 0
0.0297518 0.0309619 0
0.0309619 0.000288115 0
0.0309619 0.00149817 0
0.0309619 0.00359527 0
0.0309619 0.00644816 0
0.0309619 0.00987763 0
0.0309619 0.0136682 0
0.0309619 0.0175818 0
0.0309619 0.0213724 0
0.0309619 0.0248018 0
0.0309619 0.0276547 0
0.0309619 0.0297518 0
0.0309619 0.0309619 0
0.000288115 0.0315381 0
0.000288115 0.0327482 0
0.000288115 0.0348453 0
0.000288115 0.0376982 0
0.000288115 0.0411276 0
0.000288115 0.0449182 0
0.000288115 0.0488318 0
0.000288115 0.0526224 0
0.000288115 0.0560518 0
0.000288115 0.0589047 0
0.000288115 0.0610018 0
0.000288115 0.0622119 0
0.00149817 0.0315381 0
0.00149817 0.0327482 0
0.00149817 0.0348453 0
0.00149817 0.0376982 0
0.00149817 0.0411276 0
0.00149817 0.0449182 0
0.00149817 0.0488318 0
0.00149817 0.0526224 0
0.00149817 0.0560518 0
0.00149817 0.0589047 0
0.00149817 0.0610018 0
0.00149817 0.0622119 0
0.00359527 0.0315381 0
0.00359527 0.0327482 0
0.00359527 0.0348453 0
0.00359527 0.0376982 0
0.00359527 0.0411276 0
0.00359527 0.0449182 0
0.00359527 0.0488318 0
0.00359527 0.0526224 0
0.00359527 0.0560518 0
0.00359527 0.0589047 0
0.00359527 0.0610018 0
0.00359527 0.0622119 0
0.00644816 0.0315381 0
0.00644816 0.0327482 0
0.00644816 0.0348453 0
0.00644816 0.0376982 0
0.00644816 0.0411276 0
0.00644816 0.0449182 0
0.00644816 0.0488318 0
0.00644816 0.0526224 0
0.00644816 0.0560518 0
0.00644816 0.0589047 0
0.00644816 0.0610018 0
0.00644816 0.0622119 0
0.00987763 0.0315381 0
0.00987763 0.0327482 0
0.00987763 0.0348453 0
0.00987763 0.0376982 0
0.00987763 0.0411276 0
0.00987763 0.0449182 0
0.00987763 0.0488318 0
0.00987763 0.0526224 0
0.00987763 0.0560518 0
0.00987763 0.0589047 0
0.00987763 0.0610018 0
0.00987763 0.0622119 0
0.0136682 0.0315381 0
0.0136682 0.0327482 0
0.0136682 0.0348453 0
0.0136682 0.0376982 0
0.0136682 0.0411276 0
0.0136682 0.0449182 0
0.0136682 0.0488318 0
0.0136682 0.0526224 0
0.0136682 0.0560518 0
0.0136682 0.0589047 0
0.0136682 0.0610018 0
0.0136682 0.0622119 0
0.0175818 0.0315381 0
0.0175818 0.0327482 0
0.0175818 0.0348453 0
0.0175818 0.0376982 0
0.0175818 0.0411276 0
0.0175818 0.0449182 0
0.0175818 0.0488318 0
0.0175818 0.0526224 0
0.0175818 0.0560518 0
